"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"101","00001346","木内家住宅旧店舗","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","19991014","","千葉県","千葉県香取郡多古町多古2613","","","","35.73796179000000","140.46582959000000"
"101","00001344","木内家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19991014","","千葉県","千葉県香取郡多古町多古2613","","","","35.73782317000000","140.46579238000000"
"101","00013349","キノエネ醤油旧火入場及び変電室","","登録有形文化財(建造物)","産業2次","建築物","","大正","20200817","","千葉県","千葉県野田市中野台字久保之内157他","","キノエネ醤油株式会社","","35.94756667000000","139.86055833000000"
"101","00013348","キノエネ醤油事務所兼主屋","","登録有形文化財(建造物)","産業2次","建築物","","明治","20200817","","千葉県","千葉県野田市中野台字久保之内157他","","キノエネ醤油株式会社","","35.94740000000000","139.86069167000000"
"101","00001171","木村家住宅（旧北白川宮邸）","","登録有形文化財(建造物)","住宅","建築物","","明治","19990708","","千葉県","千葉県四街道市四街道2-12-44","","","","35.66059187000000","140.16354393000000"
"101","00011648","旧秋場家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20170628","","千葉県","千葉県長生郡一宮町東浪見字大村1611","","有限会社亜巳絵","","35.34707900000000","140.37785600000000"
"101","00011649","旧秋場家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20170628","","千葉県","千葉県長生郡一宮町東浪見字大村1611","","有限会社亜巳絵","","35.34681200000000","140.37812300000000"
"101","00011650","旧秋場家住宅長屋門","","登録有形文化財(建造物)","住宅","建築物","","明治","20170628","","千葉県","千葉県長生郡一宮町東浪見字大村1611","","有限会社亜巳絵","","35.34683800000000","140.37789100000000"
"101","00008259","旧浅子神輿店店舗兼主屋","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20100910","","千葉県","千葉県市川市本行徳37-2","","市川市","","35.69043123000000","139.91553178000000"
"101","00014325","旧莇家住宅店舗兼主屋","","登録有形文化財(建造物)","産業3次","建築物","","明治","20221031","","千葉県","千葉県印旛郡酒々井町酒々井字上宿1636-1","","酒々井町","","35.72322500000000","140.26562778000000"
"101","00013047","旧今井家住宅座敷棟","","登録有形文化財(建造物)","産業3次","建築物","","明治","20191205","","千葉県","千葉県佐倉市新町字仲町北側48-1","","佐倉市","","35.71966389000000","140.23080556000000"
